content,sentimen
Hai kak Kenapa ya aplikasinya tidak bisa dibuka padahal jaringan bagus udah diupdate berulang-ulang lagi,0
lumayan buat nambah ilmu pengetahuan,2
"Sumpah nyesel gua download dana ini, menyulitkan yg ada bukan nya praktis,apa lagi saat mengklaim polis sudah beberapa kali klaim gak pernah berhasil dengan alasan yg gak jelas,kalo gk mau di cairin jgn dipaksa donk orang suruh beli polis lu Pengaduan juga gak ada ketika kita live chat dina udah kaya ngechat orang yg sedang belajar membaca",0
cukup cepat buat transaksi dana top👍,2
mantap ga ribet,2
Bagus banget dan ga ribet,2
bagus,2
ok,0
aplikasi Dana ok banget,2
Kenapa uang hilang dan d tarik SMA orng tidak d kenal dan seperti pihak dana yg tarik uang a sya hilang 800rb lebih tolong kembalikan uang sya. SDH d chat tapi pura2 tidak paham.,0
Kenapa di hp saya tidak bisa di instalasi kk,0
smoga sukses dan terima kasih,2
selalu gk kebagian Flash sale,1
Bagus,2
"Jangan pake DANA, aplikasi udh bnyak korban kena hack,,,",1
"Kembalikan saldo saya ,saya tidak merasa bertransaksi tapi di histori sudah terkirim ke orang lain apk ini banyak oknum nya bgst.",0
ok,0
Kebalikan saldo saya tidak merasa beli bara bayar mengunakan QRIS asu demon aja gedung dana kumpulkan masa,1
Gak bisa di doowlnoud,1
okay...,0
sangat puas,2
ok,0
sangat membatu,2
keren,2
sangat puas,2
Susah di instal,0
senang sekali mngunakn dana,2
"Suami saya saldonya ilang d dana 500,Ken hack ada yg telfon",1
"Bagai mana kembang lanjut nya masalah saldo saya yang hilang ko tidak ada lanjutan nya Saya chat ke pusat bantuan gk ada respon apa"" Cuma satu laporan sudah kami Terima tapi tidak ada penjelasan nya,tolong respon nya Jadi mau isi saldo lagi takut dan ragu.",0
"proses update ke premium sangat lama , mana udah sy top up jadi gk bisa kirim"" uang.",0
Loading banget susah d buka,0
"Saldo ingin di refund malah di puter puter pertanyaan nya aneh banget padahal sudah sangat jelas saya menjelaskan semuanya,aplikasi SAMPAHHH!!!",0
puas,2
🙏🙏,1
like,2
keren,2
Mantap,2
proses nya cepat,2
nyaman bngt smga tambah baik lagi,2
"Langsung Inti nya kenapa saya setiap mau jual emas saya selalu gagal,pasti muncul pemberitahuan ""terjadi kesalahan ketika memproses pesanan mu""kalau boleh tau kenapa ya",0
👍👍👍👍👍,1
"halo min ini kenapa gw mau masukin pin selalu ada tulisan ""must not be null"" ya padahal pin gw udah gada angka nol nya dah",0
oke cepat selamat,2
bagusssss,2
"Saya daftar dana bisnis dibacanya tertera maksimal dua hari, tapi ini sudah 3 hari blum juga keluar hasil nya, mengecewakan.",0
muantap,2
Cara mengunakan pinjaman online,1
"Kak dana saya tidak bisa dibuka,apa karena kartu saya sudah hangus,apa lagi saldo saya masih banyak",0
"Berharap dgn menggunakan Dana lancar,tapi saat melakukan verifikasi begitu sulitnya. Petunjuk lihat diemail,tapi tidak muncul, uangpun akhirnya tidak bisa transfer.",0
"Kenapa dana sekarang lambat, dn dipersulit pemprosesan kirim uang ny, saya tf uang ke rek, di aplikasi dana Sukses terkirim uangny, TAPI di Rek tujuan Tidak menerima uang",0
sangat sangat goooodd,2
sangat baik,2
sangat mempermudah transaksi,2
Bgus,2
Mau bikin akun ada aja masalah jaringan lah akun di bekukan lah padahal baru aja download trs disuruh upgrade sekalinya di upgrade malah kgk bisa gmn sih buat apk tuh yg bnr klo masih banyak masalah ke gini mah buat apa coba,0
Masalah nya lama di selesaikan nya dana suka hilanng sendiri saldo nya,1
Consumer servis id nya kayak anjeng asal bekukan akun orang..... Akun dana buat usaha di bekukan kan tolol kalok gak mau di pakek aplikasinya jangan di buat anjeng....,0
Ada dana cicil tapi ga bisa di pake payah,0
semakin sulit pake dana untuk saat ini,0
Ini gimana kelanjutannya saldo dana saya hilang. Tanpa sepengetahuan saya,1
top apk,0
Sangat membantu dan memudahkan saya,2
Sanngat bagus,2
"kenapa waktu saya memasukkan pin dana saya gak bisa, padahal gak pernah ganti pin",0
Kenapa sistem pembayarannya ribet bget harus ke dana premium trus prosesnya lama banget udah 1 hari nunggu gk selesai-selesai,0
"Untuk transaksi oke sih cuman keluhan saya cuman kenapa perasaan gk berlangganan apapun di ps masih aja kesedot, buat yg nyimpen uang di dana jgn besar besar takut kesedot.",0
"Haloo ka ini kenapa ya proses vrefikasi ya lama padahal udh 1 hari lebih bahkan sampe satu Minggu,padahal di situ tertulis satu hari tapi saya nunggu ya lebih tolong kak, ad saldo ya walaupun ga seberapa tapi berarti buat saya 🙏🙏🙏🙏 respon minn dan saya juga udh dm akun Instagram resmi tapi ga ad respon",0
baik,2
Baru mau pake,1
sangat baguss,2
"Kecewa berat, Halo CS Delon, barusan kita berbicara. Sumpah demi apa aku nahan diri buat gak ngata-ngatain, soalnya ini aku mau top up pulsa ehhh transaksinya nunggu sampe 1 jam, ini apa nih maksudnya. Paket dataku mau habis, masa aku nunggu resolusi dari tim resolusi selama 1x24 jam. Keburu habis paket dataku anying, mana gak ada uang cash lagi. Nyesel isi saldo Dana banyak-banyak. Lain kali diperbaikin lah ini masalah transaksi pending, soalnya 1 jam itu termasuk lama, buang-buang wktu nunggu",0
"Serem buka dana,ga dipake tiba"" dananya lenyap,ternyata bisa di bobol org untuk main game,di cek konter Bekasi,pnh kebekasi aja juga ga,knl juga ga,jadi takut ngisi saldo.",0
Mohon ijin ini saya mau tanya saldo ko ilng sendiri,1
❤️,1
keren,2
Kerja bos,0
Kenapa nggak bisa upgrade dana premium ajg bikin susah aja org susah mau narik uang,0
app good,2
Good jibz dan sangat diperkenankan,0
"saya baru saja mengalami masalah mengirim uang dari dana ke bca, info terkirim ada di aplikasi dana, pas di cek di bangking bca tidak ada saldo, nominal 350,000 Rupiah, bagai mana ini 😭😭😭",0
ok,0
passkey gak bisa di nonaktifkan gimana ini,0
mayan,2
Bagus..karena sangat membantu,2
"Hallo dana, bagaimana ini, saya transfer uang ke bank, dari pihak dana sudah sukses, tapi uang belum masuk ke rekening, kebetulan saya lagi butuh uang tersebut, tolong bantuanya segera",1
𝑨𝒑𝒌,1
bagus,2
Lag bgt pntek,0
Dana bagus,2
Aplikasi ini sangat bagus tapi sayang sekali cepat orang bisa ambil uang saya dalam sekejap,2
Bagus untuk membantu transaksi,2
huu,2
Bagus sekali pokoknya,2
bagus,2
Good,2
lumayan,2
Sering banget gangguan,0
sangat simpel,2
dana idolaku,2
Klo dibuka knp paya y...?,1
Sangat memuaskan dan praktis 👍👍👍👍,2
e walllet terbaik,2
Sangat membantu tabungan,2
"Sbener nya bagus bisa kebantu ada DANA... Cuma tiba"" pas tarik dana kok gx bisa.. padahal saldo ada isi nya dibilang gx cukup... Hett untung bisa di kirim dulu saldo nya ke Dana yg hp laen biar bisa di ambil tarik dana....",2
trimaksih bisa mmbntu trsfer kmana tdak rbet,0
"Jangan simpen uang kalian di dana , masa tiba2 saldo gua berkurang tiba2 ada tagian matchup uk limited gak jelas ,sekali potong 50 rb",0
mudah,2
bsgus,2
saya puas pakai dana,2
gampang dalam pengaplikasian nya,2
sangat baik,2
sangat snagat membantu sekaki makasih,2
mantap,2
puas kirim uang pake dana👍,1
bangus skali,0
"Kenapa ya dana tuh ribet bgt? masa upgrade nya lama bgt padahal udh sesuai semua syarat nya, tolong dong kebijakan nya di permudah",0
ok,0
bagus,2
Bgus,2
Kenapa saya gak dapat fiktur dana cicilan Bagaimana caranya supaya saya dapat fiktur dana cicilan,1
Kak kenapa saya transfer ke bank bri lewat aplikasi dana. Di dana tulisan nya berhasil/sukses tapi saldo tidak masuk ke rekening si penerima. Bisa tolong di jelaskan. Saya harus bikin laporan ke mana,0
Tolong ini gimana ini apk dana saya gak bisa login cuman sampe verifikasi aktifitas doang abis uptade kok malah sulit login nya,0
Mantapp,2
keren bingit !!!!!!!!,0
Terlalu lama proses ke premium,0
Saya suka aplikasi DANA sungguh sangat membantu,2
aplikasi pencurian ini.. jangan di instal. saldo saya hilang di ambil orang dalam di aplikasi ini. saya tidak melakukan transaksi qris tapi ada transaksi qris yg mengambil saldo saya 690rb ternyata SDH banyak korban oleh aplikasi ini ada di YouTube juga. transaksi qris dari Sumba padahal posisi saya ada d Tangerang.. sudah di lapor ke pihak aplikasi tidak ada kejelasan malahan bilang laporan di tolak karena kesalahan saya katanya. padahal transaksi tidak saya lakukan dan bukti qris ada di sumba,0
upgrade nya harus 3-5 hari. bikin susah ehh,0
berguna banget,2
mantap sangat membantu,2
Tidak profesional sekali. Uang nggak masuk ke rekening,0
Keren,2
Kenapa sekrang mau isi pulsa erorr trus.. Bukan kedepan lebih baik malah. Tambah jelek aplikasinya,0
Sudah tau kartu hilang masih di minta kode OTP padahal verifikasi wajah sudah tapi tetap saja di minta kode OTP gimana ini,0
"Apk cukup bagus dan beguna, tapi setiap kali download ulang apk ini malah di suruh verifikasi di tap layar atau ada notif verifikasi, tapi notif nya gk muncul hampir 3 hari, dan kalo bisa di update lagi apk nya",0
"Saya transfer ke bank btn lewat apk dana, di riwayat sudah berhasil ,tapi uang saya belum masuk ke bank btn,,mending gak usah pake dana ,sekian terima kasih, biar tidak ada korban seterusnya",0
update jgn terlalu cepet ya,0
ok,0
Ok,2
sangan paten,2
bagus,2
"gimana ini dana? tiba2 saldo saya diambil oleh google padahal tidak melakukan transaksi apa apa, aneh",0
Aplikasi dana emang terbaik banget ya pantas di beri lima bintang👍,2
Kenapa mengupgradetan nya lama banget sih padahal udah diisi saldo nya,0
mantap cepat,2
ribet pas upgrade premium datanya ketolak trus,0
Ini sumpah kenapa saat di suruh buat nmr pin ini selalu ngak bisa jadi saya masih kesulitan untuk membuat nmr pin tolong di perbaiki saat membuat nmr pin,0
Gimana ini saya upgret dana premium dari kmaren dalam proses mulu uda hampir 4hari,1
bagus,2
Bagus,2
Bolak balik gak bisa diinstal,0
nice apk,0
ok,0
di permudah,2
sangat membuntu,0
"Saya kurangi bintang nya, Loading nya sangat lama berat loading nya, sampe lama banget di fitur rewar nya juga loanding nya lama,, kepada pihak apk tolong di ringan kan aplikasi nya terlalu berat untuk hp yg kurang memadai sampai panas buka nya🙏# setela di update dana kok logo nya beruba jadi ada mera mera tamba jelek sekali lihat nya kalau bisa di uba lagi seperti semula",0
top,2
Aplikasi pengeretan hati2.uang saya lenyap 600rbu.tmn sy 2juta.bahkan ada yg 5 juta raib.jg nyimpen duit di dana bahaya.pihak dana gk mau tanggung jawab.mnding di aplikasi bank resmi aja. Unreg aja dana nya.ahir2 ini banyak yg kehilangan uang pke apk dana.,0
dana bagus buat beli token listrik cepat dan praktis gak usah ribet jalan ke minimarket,2
"tolong lah masa mw di upgrade ke premium harus nunggu 2 hari blm di proses"" mana di dana ada saldo mw si kirim juga gk bisa.udh di surh masukin KTP yg lebih jls lagi udh masukin KK udh.trus masih aja blm di proses.",0
Akun saya tiba bisa di bajak orang lain..dan isi dana saya habis di kurang penipu....dan ga ada proteksi ke akun saya.. Laporan tapi uang tak bisa di kemabalikan...system nya dana bisa di masuki penipu..hati hati yg suka isi dana yg nilai besar....karna uang dikuras habis...tanpa ada penggantian dari apk dana nya..kecewa berat sebagai pemgguna saya...uang saya hilang tuh Rp 860000 ga seberapa tapi ber arti buat saya...lenyap bgtu saja...sdh lapor ke aplikasi yg jawab nya system otomatis komputer,0
keren,2
"Dana sekarang parah saldo saya selalu terkeras oleh google play, dan tidak bisa menghapus perangkat terhubung",0
mantapjiwa,2
baik,2
lebih cepat dan mudah,2
👍👍👍👍,1
Bagus sih tapi masih bamyak masalah nya,0
Tidak bisa daftar premium meskipun nomor KTP sudah sesuai,0
👍,2
sangat berguna,2
sangat mudah dan sangat membantu,2
"Mau login tapi harus konfirmasi dari device sebelumnya, padahal mau login karena memang tidak login di device manapun. Seharusnya login cukup pakai kode OTP saja yang dikirimkan ke nomor terdaftar melalui SMS atau WhatsApp. Tolong perbaiki dan kembalikan metode login pakai OTP karena bukan saya aja yang mengalami ini!!",0
Masa dikasih kode apapun aja ngak paham,0
good,0
Lumayan baik,2
Maaf boleh nanya gak. Bisa tup ap gak di dana,1
Kenapaa saya mau upgrade di persulit aplikasi macam apa ini buat emosi saja tolong perbaiki jangan buat semua pengguna kesal dan kecewa lol,0
sangat membantu bintang lh yg bicara,2
"Dana hebat,,bebas biaya admin..",2
Mau nanya emang iya dana ada dana payalater ?? Klo ada ko punya saya kaga ada ya??,0
Bagus,2
"Saya sangat kecewa, apk terburuk",0
baik,2
Oke,0
ok,0
mudah digunakan.... semoga semakin baik kedepannya,2
Tolong tambahkan opsi sms untuk verifikasi otp. Jangan hanya WhatsApp sebagai verifikasi otp. Sangat susah jika nomor dana tidak terdaftar di WhatsApp. Seperti nomor WhatsApp diblokir. Mohon ditambah opsi verifikasi otp lewat sms.,1
Susah untuk mepremium kan akun,0
terbaik lah pokonya,2
Halo min knp ya lama banget nunggu proses premium nya padahal foto KTP sudah jelas katanya 1 hari kerja tapi udah jalan 3 hari belum bisa premium mohon di bantu dan di perbaiki,0
Mantap,2
Gue beli paket data gagal...tpi saldo saya berkurang..pas minta refaun... suruh nunggu tapi gak di proses juga.. Tolong dong di benahi sistem nya,0
"Aplikasi cacat. Hati² guysss aplikasi nya nipu. Belum layak di pakai. Serba kekurangan. Admin nya ngak jelas di @danacare, ngak bakal di respon kita klo nomor hp hilang. Nanti saldo kita pasti di ambil. Klo coba masuk aplikasi pasti di mintain verifikasi sms/wa, pin nya di masukin yg bener dan sudah scan wajah tetap aja di buat nya stackk di verifikasi sms/wa.",0
"Untuk pembuatan akun bisnis dan qris relatif mudah dibanding apk lain dan gratis, tapi saldo yang masuk ke rekening bisnis tsb tidak bisa ditarik dengan alasan sedang gangguan coba lagi, namun berhari2 tetap begitu, hubungi cs melalui email responnya lama sekali, live agent pun juga lama. Solusi yang diberikan untuk clear cache dan restart device sudah dilakukan tapi tetap saja begitu. Bner2 mempersulit hidup. Sampai srg sy ga bisa pakai saldo bisnis sy. Yang mau download pikir lagi.",0
Mencoba untuk yg terbaik,2
baik,2
Sangat membantu mendadak..,2
Mantappp,2
"Tidak aman,saldo sering kebobolan/di hack",0
"Saya sengaja kasih bintang 5 agar komenan saya cepat di respon, saya sudah kirim email tapi tanggapan nya kurang memuaskan, dan setalah saya bls email nyaa malah ga di bales sama sekali, per tanggal 15februari2024 sudah saya uninstal apk dana di handphone saya, saldo saya tiba tiba hilang sebesar 400.000 , saya tidak menggunakan apk lazada tapi kenapa tiba tiba ada 2x transaksi lazada , daripada kedepan saldo saya hilang jadi mending uninstal ajaa per hari ini",0
Sy baru mau mencobanya,1
"Udah boz,tpmasih tetep g bisa,apa sih susahny upgrade.aplikasi yg lain mudah.ini kk sulit banget",0
"kak maaf ,, saya sudah aktif kan dana bisnis,, tapi knapa ya saldo nya tidak bisa ditarik, padahal ada isi nya 85.000 mhon dibantu ya bpak/ibu",1
"no sendiri,aplikasi sendri,hp sendiri tp engga bisa masuk ke akun ,disuruh masuk lewat notif tp tidak ada notif as*",1
Mantap,2
Pan pan pan semakin terdepan ✌️,2
bermanfaat sekali,2
sngt mmbntu buat bli onln,1
Kok gak bisa masuk ... verifikasi terus kan udh premium masa masukin kode otp LG,0
Susah daftar nya,0
mantap untuk transaksi uang,2
Good,2
bagus sekali,2
"Hai kak, ini gimana yah aku ga bisa upgrade dana ku ke premium, udah ku coba berkali² tapi tetep ga bisa malah ""verifikasi gagal karna foto selfie tidak sesuai dengan KTP, padahal udah jelas foto KTP nya foto aku. Tolong segera ditindak lanjuti karna saya butuh segera",0
Ga bisaa loginn,1
Tidak dpt d bukak jika d bka kmbli sndri,1
makasih dana sudah membantu meringankan tugas saya dalam melakukan transaksi ☺️,1
Hidup jadi lebih mudah,2
Sekarang ada penipuan mengatasnamakan dana. Di tlpon katanya dpet undian. Perlu ditindak itu,0
Mantep,2
baik,2
baik,2
membantu...,2
𝘣𝘨𝘶𝘴.𝘣𝘢𝘯𝘨𝘦𝘵 .𝘴𝘦𝘭𝘢𝘪𝘯.𝘪𝘵𝘶 𝘨𝘢𝘮𝘱𝘢𝘯𝘨.𝘫𝘨.𝘤𝘢𝘳𝘢 𝘮𝘢𝘬𝘦.𝘺.𝘵𝘳𝘪𝘮𝘢𝘬𝘢𝘴𝘪𝘩.𝘥𝘢𝘯𝘢.𝘶𝘥𝘩 𝘮𝘦𝘮𝘣𝘦𝘳𝘪.𝘺𝘨 𝘵𝘦𝘳𝘣𝘢𝘪𝘬🥰,1
Sangat bngus dana digitalnya,0
👍👍👍,1
bagus,2
Rekomen buat yg ga punya bank,1
"Tiba2 ada Transaksi yg gak gw kenal , sayang sekali keaman dana gampang banget di bobol . . . Jadi g mau isi saldo dan nyimpen duit di dana.",0
Kenapa aplikasi dana tidak bisa di bukak klo aplikasinya dibuka pasti kembali lagi ke layar utama,1
bagus,2
Aplikasi yang sangat bagus,2
Aplikasi dana...banyak penipuan....dan banyak potongan berlanggan padahal saya tidak pernah ada langganan dan sudah lapor ke pihak costumer care dana tapi tidak ada hasilnya,0
Mau kirim disuruh upgrade dana premium tulisanya satu hari tapi sudah 2 hari masih dalam proses lebih baik pindah ke aplikasi lain aja,1
prkatis dn sngt mmbantu . jd lbh mudah utk hal apapun,2
mempermudah transaksi,2
mantapp,2
Ok,2
Bgus,2
Knapa,0
beli pulsa gampang banget,2
bagus choy,2
bagus banget,2
"Aplikasi ini sangat bermanfaat bagi penggunanya, Aplikasi yg bagus",2
Saya selaku pengguna akun dana ..saya akui saya salah karena ketidakpahaman saya...saya punya akun dana . Dan membuat dana lagi di hp hp yg lain.dengan KTP saya yang sama . Tiba tiba akun dana saya yg lama di bekukan .masih ada saldo nya lagi lumayan .minta di aktifin lagi susah nya minta ampun ..padahal saya udah penuhi syarat..semua sampai verifikasi muka. Kan sudah terbukti bukan penipu tapi masih susah untuk mengaktifkan aplikasi ini bagus tapi penanganan nya lama...,0
sangat baik,2
ok,0
sejauh ini Alhamdulillah baik,2
Kak nomer saya sudah hilang dan tidak aktif gimana cara login lainnya ya,1
Aplikasi dana saya laporan maalah tidak ditanggapi hilang saldo 250 ribu kenapa bisa hilang coba apk dana gak aman gini,0
"Kenapa ya udh update ke premium tapi lama banget buat dana bisa di pakai ,transfer juga belum bisa payer belum kyc terus,emang berapa lama nunggu setelah update ke premium?",0
Good morning,1
bagus,2
Sudah dua hari saldo e-wallet saya tidak masuk padahal saldo saya sudah berkurang,1
sangat membantu,2
punya link dana luar biasa tf tanpa kena potongan,1
Perbaiki layanan,0
Knp sya tdk bisa masuk,1
Knpa saya tidak bisa verifikasi akun?,0
"Tolong dong saya up ke premium dari hari selasa sore sampai hari ini belum di konfirmasi,CS dana juga gabisa di teelfon,diwa juga gabisa(nomernya tidak terdaftar),tolong dong pihak dana nya bagaimana ini kok responnya lama sekali",0
baik,2
bagus,2
"Saya merasa di rugikan dana,saya ngirim uang ke BRI awal masuk tapi di tarik lagi oleh pihak bank DBS...dan saya tidak tau uang saya entah dimana,,saya minta ajukan pengembalian dana kerna tempat saya dan penerimah beda daerah,,kami tidak dapat memproses gendala salah kirim anda...",0
Bagus seperti..... biasa... jgn pake Poto Mulu ah...... malu udah kaya teroris aja.. dipoto terus muka jeleknya.... Poto Mulu... Diganti dong bosss,0
"uang dari dana ku hilang, dan Cs dana tidak bertanggung jawab",0
"Tolong ini kenapa dipersulit mau upgrade ke premium Otomatis jadi tidak bisa saya gunakan untuk transaksi, karena nunggu lama prosesnya",0
lambatt melalukan transfer,1
Terima aksih,2
mempermudah segalanya ☺makasih dana,2
di ss GK boleh kenapa ni....repot,0
Saya nyaman aman cepat dan puas,2
enak,2
Baik,2
sangat mudah,2
sangat suka dengan aplikasi,2
"Aplikasi paling g jelas call center susah banget di hubungi dana digital sama aja,bolak balik dm ig sama aja",0
Kok gx bisa masuk2 sih kak,0
Pingin coba apakah amanah,2
"akun saya di proteksi dengan tiba tiba dan sudah saya coba dengan segala macam cara menghubungi customer servise tetap aja gada jawaban,pas posisi lagi butuh banget uang nya ada 2juta tiba tiba aju. di proteksi ,gada jalan keluar sama sekali ini dana",0
sangat Membatu sekali..,2
Ok,2
mantap,2
Puaaaasss,2
keren mantapp,2
mantapp,2
good,0
"Kenapa hari ini masuk/log in via perivikasi wajah di non aktifkan ,mohon diaktifkan kembali",1
saya tidak bisa masuk dana,0
sangat bagus,2
Saya kaga bisa masuk,1
Tap aplikasi ini,1
Mohon bantuannya kepada pikah dana. Dalam masalah saldo saya hilang. Dan sdh melapor dan membuat kronologis nya ke jadian nya. knp tiada ada respon dan balasan dari pihak dana saldo saya blm juga kembali,1
tambah kan fitur Sidik jari biar lebih aman lagi saat buka aplikasi dan transaksi,1
Sangat membantu,2
selalu upgref,2
sangat membantu,2
TERJADI LAGI UDAH 3X YG PERTAMA 450K KE DUA 2.4K YANG KE TIGA 1.3K NYANGKUT SEMUA INI NIAT BIKIN APLIKASI GAK SIE .. LAPOR CHAT DI BALAS ROBOT TELP COSTUMERS SERVICE JAWABAN NYA BLUNDER LAPOR VIA GMIAL G DI RESPON UINSTAL AJA DAH RUGI BANGTS INSTAL INI APLIKASI,1
proses upgrad dana premium kelamaan jadi gak bisa kirim,0
Sangat bagus dan aman,2
Dana top up saya kok ngga masuk²!?,0
"Kok gk bisa isi saldo ya, trus susah sekali utk berubah ke premium karna saya ganti no, sudah di chat admin juga gda kejelasan caranya sudah dicoba. Ini mau isi saldo di klik berapa kali gk bisa"" gimana ya ini",0
Mau beli paket data udah 3x topup ga mau masuk saldo tetep aja gmn mau maju dana Cek riwayat juga sama. Eror gmana gw butuh duit,0
Sungguh bagus,2
Sangat mudah di gunakan sangat mudah di mengerti dan sangat membantu masalah transaksi keuangan tanpa ribet,2
"Nyesel up ke premium, mw login malah gagal, loginnya dipersulit ngent",0
"Saya tidak tau siapa yg lapor akun dana saya bilang akun saya sbagai penipu sehingga dana saya tidak bisa di aktifkan kembali Seementara saya terakhir hanya melakukan top up dana di Alfamart Saya tidak mengetahui Untuk yg melaporkan saya sebagai penipu, jika berkenan tolong kirim kan data nama dan no tlp yg melaporkan saya, Malah balasn email saya di cs dana seperti itu Jika tidak ada itikad baik dari pihak dana saya akan lapor dan langsung ke kantor pusat di Jakarta",0
praktis,0
Kenapa sekarang harus ada minimal saldonya kalo mau narik yaa? Saldo saya sisa 50.000 pas mau ditarik gak bisa dan ada pemberitahuan kalau minim saldo 53K padahal yang dulu² bisa dan memudahkan banget (saya udh pake ±2 tahun). Kecewa berat sihh udah gitu makin kesini loadingnya suka lamaaaa banget padahal signal full batang😌,0
Ok banget,2
Ga bisa login maupun daftar device android...!!!,1
sangat bagus sekali,2
"Apk Bngst.. Saldo dana gue tiba2 hilang,mana minta masukin vertifikasi wajah mulu.Terus jngan nato uang gede2 nanti ilang.",0
Ah tolol gak bisa login otp gk di kasin Sudah jelas mau login malah lihat di pesan peripikasi nya Mau peripikasi nya gimana coba baru aja mau login,1
good banget,0
Mantap,2
LEMOT APK !!!!,2
